CCC0128                  RPO  00130WSLC EXE20200607144521520021886S00000000
00101651010520206/07/202013:47:08            44515543336             2088200001920000000+000000000000000006/07/2020000000000000S 0000000NN21407010HX      305230520003043474
00101651010520206/07/202013:46:46            44515543336             2088200001920000000+000000000000000006/07/2020000000000000S 0000000NN21407010HX      305230520003043472
00101651010520206/07/202013:47:04            44515543336             2088200001920000000+000000000000000006/07/2020000000000000S 0000000NN21407010HX      305230520003043473
00101651010520206/07/202013:47:35            44515543336             2135100000900000000+000000000000000006/07/2020000000000000S 0000000NN21407010HX      305230520003043479
00101651010520206/07/202013:47:32            44515543336             2135100000900000000+000000000000000006/07/2020000000000000S 0000000NN21407010HX      305230520003043471
00101651010520206/07/202013:47:43            44515543336             2135100000600000000+000000000000000006/07/2020000000000000S 0000000NN21407010HX      305230520003043480
00101651010520206/07/202013:44:26            44521543325             2859200000010000000+000000000000000006/07/2020000000000000S 0000000NN13274010HX      305230520003043465
00101651010520206/07/202013:45:48            44521543325             5555700000200000000+000000000000000006/20/2020000000000000S 0000000NN13274010HX      305230520003043478
00101651010520206/07/202013:45:35            44521543325             5555700000400000000+000000000000000006/20/2020000000000000S 0000000NN13274010HX      305230520003043476
00101651010520206/07/202013:45:42            44521543325             5555700000400000000+000000000000000006/20/2020000000000000S 0000000NN13274010HX      305230520003043477
00101651010520206/07/202013:44:31            44521643329             2859200000010000000+000000000000000006/07/2020000000000000S 0000000NN16922010HX      305230520003043464
00101651010520206/07/202013:44:47            44521643329             4956900000300000000+000000000000000006/18/2020000000000000S 0000000NN16922010HX      305230520003043463
00101651010520206/07/202013:45:11            44521643329             6526900000500000000+000000000000000006/19/2020000000000000S 0000000NN16922010HX      305230520003043475
00101651010520206/07/202013:50:21            46929443343             3150500000080000000+000000000000000006/07/2020000000000000S 0000000NN25528020HX      305230520003043482
00101651010520206/07/202013:22:42            46932143249             5353600000010000000+000000000000000006/07/2020000000000000S 0000000NN00385701HX      305230520003043436
00101651010520206/07/202013:23:06            46932143249             5353700000010000000+000000000000000006/07/2020000000000000S 0000000NN00385701HX      305230520003043438
00101651010520206/07/202013:50:27            46932143249             5524200000000000000+000000000000000006/07/2020000000000000S 0000000NN00385701HX      525252520201936179
00101651010520206/07/202013:26:22            46932143249             5664800000160000000+000000000000000006/07/2020000000000000S 0000000NN00385701HX      305230520003043428
00101651010520206/07/202013:21:43            46932143249             5664800000160000000+000000000000000006/07/2020000000000000S 0000000NN00385701HX      305230520003043433
00101651010520206/07/202013:21:33            46932143249             5664800000060000000+000000000000000006/07/2020000000000000S 0000000NN00385701HX      305230520003043434
00101651010520206/07/202013:23:25            46932143249             5815900000020000000+000000000000000006/07/2020000000000000S 0000000NN00385701HX      305230520003043432
00101651010520206/07/202014:14:11            58042043345             3160500000260000000+000000000000000009/04/2020000000000000S 0000000NN00078501WB      305230520003159810
00101651010520206/07/202014:13:41            58042043345             4680000000570000000+000000000000000009/04/2020000000000000S 0000000NN00078501WB      305230520003159811
TTT000800000023
